Name,School,Conference,Salary,OtherPay,TotalSalary,MaxBonus
Steve Addazio,Temple,Big East,N/A,N/A,N/A,N/A
Robb Akey,Idaho,WAC,375797,6200,381997,158262
Gary Andersen,Utah State,WAC,415000,0,415000,150000
Chris Ault,Nevada,Mt. West,493093,0,493093,30000
David Bailiff,Rice,CUSA,608846,N/A,608846,N/A
Frank Beamer,Virginia Tech,ACC,2343000,85000,2428000,407500
Tim Beckman,Illinois,Big Ten,1600000,N/A,1600000,80000
Todd Berry,Louisiana-Monroe,Sun Belt,250000,N/A,250000,62500
Bret Bielema,Wisconsin,Big Ten,2600000,40140,2640140,400000
Larry Blakeney,Troy,Sun Belt,455000,0,455000,75000
Bill Blankenship,Tulsa,CUSA,N/A,N/A,N/A,N/A
Terry Bowden,Akron,MAC,375000,N/A,375000,90000
Art Briles,Baylor,Big 12,2232807,N/A,2232807,N/A
Mack Brown,Texas,Big 12,5292500,61250,5353750,850000
Troy Calhoun,Air Force,Mt. West,882000,N/A,882000,247000
Matt Campbell,Toledo,MAC,360000,450,360450,305000
Gene Chizik,Auburn,SEC,3500000,77500,3577500,1200000
Norm Chow,Hawaii,Mt. West,550000,N/A,550000,695000
Dave Christensen,Wyoming,Mt. West,1200000,N/A,1200000,25000
Paul Chryst,Pittsburgh,Big East,N/A,N/A,N/A,N/A
Dave Clawson,Bowling Green,MAC,363000,1200,364200,116000
Larry Coker,Texas-San Antonio,WAC,350000,1150,351150,30000
Mario Cristobal,Florida International,Sun Belt,522183,0,522183,145000
Bill Cubit,Western Michigan,MAC,377250,2000,379250,251500
David Cutcliffe,Duke,ACC,1788523,N/A,1788523,N/A
Mark Dantonio,Michigan State,Big Ten,1934250,0,1934250,650000
Bob Davie,New Mexico,Mt. West,760000,0,760000,350000
Tim DeRuyter,Fresno State,Mt. West,650000,N/A,650000,1610000
Dave Doeren,Northern Illinois,MAC,420000,3000,423000,205000
Derek Dooley,Tennessee,SEC,2000000,11000,2011000,475000
Sonny Dykes,Louisiana Tech,WAC,750000,10200,760200,310000
Randy Edsall,Maryland,ACC,1600000,4000,1604000,950000
Rich Ellerson,Army,Ind.,600000,0,600000,350000
Jon Embree,Colorado,PAC-12,725000,N/A,725000,1400000
Ron English,Eastern Michigan,MAC,360517,0,360517,90000
Dan Enos,Central Michigan,MAC,325000,600,325600,133000
Larry Fedora,North Carolina,ACC,2448605,N/A,2448605,29167
Kirk Ferentz,Iowa,Big Ten,3835000,0,3835000,1750000
Jimbo Fisher,Florida State,ACC,2750000,0,2750000,675000
Pat Fitzgerald,Northwestern,Big Ten,1280751,N/A,1280751,N/A
Kyle Flood,Rutgers,Big East,750000,10000,760000,350000
Dennis Franchione,Texas State,WAC,360500,2300,362800,57500
James Franklin,Vanderbilt,SEC,N/A,N/A,N/A,N/A
Hugh Freeze,Mississippi,SEC,1500000,5500,1505500,1475000
Justin Fuente,Memphis,CUSA,903285,0,903285,625000
Al Golden,Miami,ACC,N/A,N/A,N/A,N/A
Todd Graham,Arizona State,PAC-12,3000000,N/A,3000000,2050000
Jim Grobe,Wake Forest,ACC,2254798,N/A,2254798,N/A
Mike Gundy,Oklahoma State,Big 12,3275000,N/A,3275000,550000
Bobby Hauck,Nevada-Las Vegas,Mt. West,500000,900,500900,140000
Darrell Hazell,Kent State,MAC,300000,N/A,300000,76000
Brady Hoke,Michigan,Big Ten,3046120,0,3046120,525000
Dana Holgorsen,West Virginia,Big 12,2380000,0,2380000,600000
Doc Holliday,Marshall,CUSA,600000,12750,612750,80000
Skip Holtz,South Florida,Big East,2000000,0,2000000,650000
Danny Hope,Purdue,Big Ten,970000,N/A,970000,778904
Mark Hudspeth,Louisiana-Lafayette,Sun Belt,800000,3000,803000,105000
Paul Johnson,Georgia Tech,ACC,2440700,5000,2445700,1025000
Ellis Johnson,Southern Mississippi,CUSA,790000,0,790000,465000
Curtis Johnson,Tulane,CUSA,N/A,N/A,N/A,N/A
Butch Jones,Cincinnati,Big East,1769648,0,1769648,330000
Joey Jones,South Alabama,Sun Belt,345125,26000,371125,50625
June Jones,Southern Methodist,CUSA,1825089,N/A,1825089,N/A
Brian Kelly,Notre Dame,Ind.,2424301,N/A,2424301,N/A
Chip Kelly,Oregon,PAC-12,3500000,N/A,3500000,900000
Lane Kiffin,Southern California,PAC-12,2406505,N/A,2406505,N/A
Jerry Kill,Minnesota,Big Ten,1200000,N/A,1200000,875000
Mike Leach,Washington State,PAC-12,2250000,0,2250000,640000
Pete Lembo,Ball State,MAC,350000,2800,352800,265000
Tony Levine,Houston,CUSA,900000,N/A,900000,370000
Mike London,Virginia,ACC,2552760,3700,2556460,715000
Rocky Long,San Diego State,Mt. West,800000,2600,802600,805000
Mike MacIntyre,San Jose State,WAC,401820,10000,411820,300835
Gus Malzahn,Arkansas State,Sun Belt,856210,3400,859610,160000
Doug Marrone,Syracuse,Big East,1259276,N/A,1259276,N/A
Dan McCarney,North Texas,Sun Belt,545000,300,545300,75000
Jim McElwain,Colorado State,Mt. West,1350000,0,1350000,150000
Garrick McGee,Alabama at Birmingham,CUSA,550000,N/A,550000,465000
Ruffin McNeill,East Carolina,CUSA,950000,0,950000,350000
Bronco Mendenhall,Brigham Young,Ind.,N/A,N/A,N/A,N/A
Urban Meyer,Ohio State,Big Ten,4250000,50000,4300000,450000
Les Miles,LSU,SEC,3751000,105417,3856417,700000
Charley Molnar,Massachusetts,MAC,400625,N/A,400625,122500
Jim Mora,UCLA,PAC-12,1935000,0,1935000,750000
Dan Mullen,Mississippi State,SEC,2600000,0,2600000,650000
Will Muschamp,Florida,SEC,2474500,N/A,2474500,450000
Ken Niumatalolo,Navy,Ind.,1605370,N/A,1605370,N/A
Tom O'Brien,North Carolina State,ACC,936225,1000000,1936225,1110000
Bill O'Brien,Penn State,Big Ten,2300000,N/A,2300000,47500
George O'Leary,Central Florida,CUSA,1461646,0,1461646,600000
Paul Pasqualoni,Connecticut,Big East,1600000,N/A,1600000,115625
Gary Patterson,Texas Christian,Big 12,3467926,N/A,3467926,N/A
Carl Pelini,Florida Atlantic,Sun Belt,450000,N/A,450000,317500
Bo Pelini,Nebraska,Big Ten,2875000,N/A,2875000,1000000
Chris Petersen,Boise State,Mt. West,1956333,3500,1959833,290000
Joker Phillips,Kentucky,SEC,1700000,4250,1704250,1105000
Gary Pinkel,Missouri,SEC,2700000,0,2700000,850000
Mike Price,Texas-El Paso,CUSA,359206,9000,368206,320853
