School,W,L,Pct
Clemson,12,2,0.857
North Carolina State,9,4,0.692
Louisville,8,5,0.615
Wake Forest,8,5,0.615
Boston College,7,6,0.538
Florida State,7,6,0.538
Syracuse,4,8,0.333
Miami (FL),10,3,0.769
Virginia Tech,9,4,0.692
Georgia Tech,5,6,0.455
Duke,7,6,0.538
Pitt,5,7,0.417
Virginia,6,7,0.462
North Carolina,3,9,0.25
UCF,13,0,1
South Florida,10,2,0.833
Temple,7,6,0.538
Cincinnati,4,8,0.333
Connecticut,3,9,0.25
East Carolina,3,9,0.25
Memphis,10,3,0.769
Houston,7,5,0.583
Navy,7,6,0.538
SMU,7,6,0.538
Tulane,5,7,0.417
Tulsa,2,10,0.167
Oklahoma,12,2,0.857
Texas Christian,11,3,0.786
Oklahoma State,10,3,0.769
Iowa State,8,5,0.615
Kansas State,8,5,0.615
Texas,7,6,0.538
West Virginia,7,6,0.538
Texas Tech,6,7,0.462
Baylor,1,11,0.083
Kansas,1,11,0.083
Ohio State,12,2,0.857
Penn State,11,2,0.846
Michigan State,10,3,0.769
Michigan,8,5,0.615
Rutgers,4,8,0.333
Indiana,5,7,0.417
Maryland,4,8,0.333
Wisconsin,13,1,0.929
Northwestern,10,3,0.769
Iowa,8,5,0.615
Purdue,7,6,0.538
Nebraska,4,8,0.333
Minnesota,5,7,0.417
Illinois,2,10,0.167
Florida Atlantic,11,3,0.786
Florida International,8,5,0.615
Marshall,8,5,0.615
Middle Tennessee State,7,6,0.538
Western Kentucky,6,7,0.462
Old Dominion,5,7,0.417
Charlotte,1,11,0.083
North Texas,9,5,0.643
Southern Mississippi,8,5,0.615
UAB,8,5,0.615
Louisiana Tech,7,6,0.538
UTSA,6,5,0.545
Rice,1,11,0.083
UTEP,0,12,0
Massachusetts,4,8,0.333
Army,10,3,0.769
Notre Dame,10,3,0.769
Brigham Young,4,9,0.308
Akron,7,7,0.5
Ohio,9,4,0.692
Buffalo,6,6,0.5
Miami (OH),5,7,0.417
Bowling Green State,2,10,0.167
Kent State,2,10,0.167
Toledo,11,3,0.786
Central Michigan,8,5,0.615
Northern Illinois,8,5,0.615
Western Michigan,6,6,0.5
Eastern Michigan,5,7,0.417
Ball State,2,10,0.167
Boise State,11,3,0.786
Wyoming,8,5,0.615
Colorado State,7,6,0.538
Air Force,5,7,0.417
Utah State,6,7,0.462
New Mexico,3,9,0.25
Fresno State,10,4,0.714
San Diego State,10,3,0.769
Nevada-Las Vegas,5,7,0.417
Nevada,3,9,0.25
Hawaii,3,9,0.25
San Jose State,2,11,0.154
Washington,10,3,0.769
Stanford,9,5,0.643
Washington State,9,4,0.692
Oregon,7,6,0.538
California,5,7,0.417
Oregon State,1,11,0.083
USC,11,3,0.786
Arizona State,7,6,0.538
Arizona,7,6,0.538
UCLA,6,7,0.462
Utah,7,6,0.538
Colorado,5,7,0.417
Georgia,13,2,0.867
South Carolina,9,4,0.692
Kentucky,7,6,0.538
Missouri,7,6,0.538
Florida,4,7,0.364
Vanderbilt,5,7,0.417
Tennessee,4,8,0.333
Alabama,13,1,0.929
Auburn,10,4,0.714
LSU,9,4,0.692
Mississippi State,9,4,0.692
Texas A&M,7,6,0.538
Ole Miss,6,6,0.5
Arkansas,4,8,0.333
Appalachian State,9,4,0.692
Coastal Carolina,3,9,0.25
Georgia Southern,2,10,0.167
Troy,11,2,0.846
Arkansas State,7,5,0.583
Georgia State,7,5,0.583
New Mexico State,7,6,0.538
Louisiana-Lafayette,5,7,0.417
Louisiana-Monroe,4,8,0.333
Idaho,4,8,0.333
South Alabama,4,8,0.333
Texas State,2,10,0.167
