Zipcode,Establishments
1001,53
1001,45
1001,4
1001,5
1001,9
1001,27
1001,8
1001,5
1001,4
1001,4
1001,1
1001,4
1001,4
1001,4
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,2
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,7
1001,7
1001,1
1001,1
1001,5
1001,6
1001,6
1001,1
1001,1
1001,4
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,5
1001,5
1001,1
1001,1
1001,3
1001,5
1001,5
1001,1
1001,1
1001,3
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,13
1001,10
1001,1
1001,4
1001,5
1001,3
1001,6
1001,4
1001,2
1001,2
1001,2
1001,4
1001,3
1001,1
1001,2
1001,1
1001,4
1001,3
1001,1
1001,2
1001,1
1001,2
1001,1
1001,1
1001,1
1001,2
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,6
1001,5
1001,1
1001,2
1001,2
1001,1
1001,6
1001,5
1001,1
1001,2
1001,2
1001,1
1001,6
1001,5
1001,1
1001,2
1001,2
1001,1
1001,7
1001,7
1001,1
1001,1
1001,5
1001,7
1001,7
1001,1
1001,1
1001,5
1001,4
1001,4
1001,4
1001,4
1001,4
1001,4
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,8
1001,6
1001,1
1001,5
1001,2
1001,8
1001,6
1001,1
1001,5
1001,2
1001,5
1001,3
1001,3
1001,2
1001,5
1001,3
1001,3
1001,2
1001,3
1001,3
1001,1
1001,2
1001,3
1001,3
1001,1
1001,2
1001,5
1001,3
1001,2
1001,1
1001,2
1001,2
1001,2
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,4
1001,4
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,3
1001,3
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
1001,2
1001,2
1001,1
1001,1
