,0
Intercept,-13502614.963743554
State[T.AR],-233360.4190921942
State[T.AZ],-163833.103323506
State[T.CA],51958.45057070945
State[T.CO],-121965.8704422454
State[T.CT],-10187.263923409404
State[T.DE],-168676.8563279231
State[T.FL],-155850.92731218788
State[T.GA],-178204.53737613003
State[T.HI],133130.4034299085
State[T.IA],-216977.92802895771
State[T.ID],-151536.12029064842
State[T.IL],-180543.98175297963
State[T.IN],-246308.0755761023
State[T.KS],-207217.10656842525
State[T.KY],-238148.14109377668
State[T.LA],-177389.7743988133
State[T.MA],-77256.2907863544
State[T.MD],-109598.39611535889
State[T.ME],-181390.94028158387
State[T.MI],-221907.75051040563
State[T.MN],-177121.5514413854
State[T.MO],-194694.43191124906
State[T.MS],-236339.00120811915
State[T.NC],-213066.93014822374
State[T.NE],-214310.71872247048
State[T.NH],-125259.50630323272
State[T.NJ],-89312.99280654195
State[T.NM],-157484.30753926415
State[T.NV],-106451.88954499265
State[T.NY],-155240.4062567119
State[T.OH],-226935.3838772918
State[T.OK],-247188.19356633036
State[T.OR],-139502.7517570131
State[T.PA],-208086.0178828787
State[T.SC],-185790.23697310706
State[T.SD],-115107.80512695436
State[T.TN],-265999.6036681669
State[T.TX],-207978.12990754808
State[T.UT],-151322.6271270771
State[T.VA],-93426.59199764972
State[T.WA],-61747.56152864881
State[T.WI],-214832.3282127566
State[T.WV],-259143.04363757776
Zipcode[T.58204],-96752.88651777002
Zipcode[T.58212],-100831.34780480847
Zipcode[T.58214],-94154.82402795415
Zipcode[T.58220],-73902.23029378918
Zipcode[T.58222],-81550.2724008298
Zipcode[T.58228],-121586.02682907955
Zipcode[T.58230],-36860.06578950099
Zipcode[T.58231],-121056.15699270593
Zipcode[T.58240],-140289.20820015005
Zipcode[T.58243],-96820.51769752166
Zipcode[T.58249],-149562.31467458248
Zipcode[T.58250],-138414.88533448498
Zipcode[T.58251],-134255.07152773647
Zipcode[T.58254],-110290.28003736745
Zipcode[T.58257],-121867.55973510916
Zipcode[T.58265],-98421.93780851578
Zipcode[T.58270],-205034.06886418266
Zipcode[T.58271],-11132.103527076126
