Zipcode,CountTaxReturns2016,CountDependents2016,AdjGrossIncome2016,TotalIncome2016,CapGains2016,TaxesPaid2016
1001,8950,3960,498738,504774,6717,24387
1002,9670,4310,778376,796475,57274,58509
1005,2300,1170,136744,138309,2124,7623
1007,7490,4150,529796,537509,10447,35326
1008,620,280,39757,40213,328,2328
1010,1820,920,133063,134902,2759,8312
1011,620,270,32350,32610,100,1699
1012,360,130,22594,22939,488,1614
1013,10500,6070,428188,431761,3724,13682
1020,15120,6950,714119,720369,7217,27809
1022,1160,330,53888,54297,403,1840
1026,520,210,28339,29038,600,1441
1027,9770,3670,564723,573947,13300,28971
1028,8120,4490,719744,731734,49221,54687
1030,6040,3110,383932,388123,5806,21677
1031,520,310,24199,24376,10,759
1032,270,100,14090,14328,166,694
1033,3310,1520,210128,213106,3645,13176
1034,1020,460,70549,71632,1879,4004
1035,2760,1070,183927,187370,6642,9710
1036,2670,1250,210217,213734,4394,15548
1038,1340,500,95345,96998,3722,5430
1039,740,270,52587,53995,2755,3632
1040,16530,10320,710265,718282,20284,28139
1050,1270,610,71922,72871,741,4063
1053,880,350,64767,66096,5047,4180
1054,960,410,85097,87040,7195,7078
1056,10350,4640,614865,621807,7016,33993
1057,4210,1970,268935,273174,5009,15574
1060,7550,2180,539182,552023,28813,31574
1062,5680,2700,458792,468568,27399,29449
1068,960,480,66544,67519,987,3675
1069,4130,1870,229320,232219,2052,12653
1070,330,110,14596,14915,207,750
1071,760,390,43542,43959,157,2370
1072,730,370,47844,48888,1887,3579
1073,3220,1570,250379,254957,4573,16285
1075,8500,3530,586249,594998,12558,36124
1077,4940,2260,373874,379624,7844,24829
1080,1180,570,49728,50195,136,1657
1081,840,380,45573,45959,106,2187
1082,5000,2380,256086,258695,3103,12271
1085,19140,9900,1181723,1196687,29345,68688
1088,330,90,18890,19207,170,875
1089,14120,7530,806068,816461,25191,44458
1095,7280,4060,741522,753607,25754,54531
1096,1290,550,94152,96291,2726,6444
1098,600,210,41952,42731,2313,2204
1103,1010,520,36871,37507,633,930
