Date,Cost Per Thousand
11/3/2016,0
11/4/2016,4.356060606
11/5/2016,3.376623377
11/6/2016,6.634615385
11/7/2016,1.949152542
11/8/2016,2.534562212
11/9/2016,4.951456311
11/10/2016,6.140350877
11/11/2016,3.011363636
11/12/2016,1.075697211
11/13/2016,2.26640159
11/14/2016,1.508452536
11/15/2016,3.181818182
11/16/2016,2.983870968
11/17/2016,2.896341463
11/18/2016,2.103448276
11/19/2016,4.937759336
11/20/2016,2.816901408
11/21/2016,5.8
11/22/2016,2.156862745
11/23/2016,2.152777778
11/24/2016,3.121693122
11/25/2016,1.048218029
11/26/2016,2.295409182
11/27/2016,3.174157303
11/28/2016,0.596658711
11/29/2016,5.33632287
11/30/2016,0.880597015
12/1/2016,2.110552764
12/2/2016,0.635208711
12/3/2016,6.243386243
12/4/2016,2.037914692
12/5/2016,1.121605667
12/6/2016,1.64756447
12/7/2016,2.289719626
12/8/2016,1.591448931
12/9/2016,1.576642336
12/10/2016,0.269396552
12/11/2016,12.80487805
12/12/2016,0.379746835
12/13/2016,2.174840085
12/14/2016,2.08984375
12/15/2016,0.687757909
12/16/2016,1.465201465
12/17/2016,3.064066852
12/18/2016,2.168141593
12/19/2016,1.853832442
12/20/2016,1.081081081
12/21/2016,14.92753623
12/22/2016,5.806451613
12/23/2016,6.609195402
12/24/2016,10.42105263
12/25/2016,9
12/26/2016,15.71428571
1/1/2017,3.897547684
1/2/2017,2.391263941
1/3/2017,2.676351512
1/4/2017,2.502775498
1/5/2017,2.615524222
1/6/2017,2.951116699
1/7/2017,3.977118772
1/8/2017,3.63049746
1/9/2017,3.370696557
1/10/2017,3.215725118
1/11/2017,3.634975331
1/12/2017,3.457732967
1/13/2017,3.879220327
1/14/2017,3.25351422
1/15/2017,3.348131236
1/16/2017,3.284179056
1/17/2017,2.708314361
1/18/2017,3.232550909
1/19/2017,3.020675744
1/20/2017,2.785508273
1/21/2017,3.24647619
1/22/2017,2.303526371
1/23/2017,3.302372106
