Date,Conversion Rate, Tablet Conversion Rate , PC Conversion Rate , Mobile Conversion Rate , Below Fold Conversion Rate , Above Fold Conversion Rate , 300x250 Conversion Rate , 320x50 Conversion Rate , 728x90 Conversion Rate ,Aggregate CTR,Impression Count,Click Count,Bids,Win Rate, Clearing Price (CPM) 
01/10/2017,5.76%,0,0,0,0,0,0,0,0,0.20%,"716,145","1,407",6923425,10.34%, $3.78 
01/11/2017,7.04%,0,0,0,0,0,0,0,0,0.18%,"707,259","1,278",7449858,9.49%, $3.83 
01/12/2017,5.67%,0,0,0,0,0,0,0,0,0.19%,"678,880","1,287",7375150,9.20%, $3.98 
01/13/2017,4.67%,0,0,0,0,0,0,0,0,0.25%,"629,582","1,586",7777529,8.09%, $4.29 
01/14/2017,8.52%,0,0,0,0,0,0,0,0,0.17%,"550,961",951,1584488,34.77%, $4.71 
01/15/2017,5.98%,0,0,0,0,0,0,0,0,0.20%,"539,235","1,053",1464411,36.82%, $4.82 
01/16/2017,10.66%,0,0,0,0,0,0,0,0,0.17%,"594,881","1,004",1573287,37.81%, $4.91 
01/17/2017,8.65%,0,0,0,0,0,0,0,0,0.17%,"562,002",959,1423425,39.48%, $4.89 
01/18/2017,6.34%,0,0,0,0,0,0,0,0,0.17%,"700,949","1,198",1742557,40.23%, $3.84 
01/19/2017,8.12%,0,0,0,0,0,0,0,0,0.18%,"665,154","1,194",1769595,37.59%, $3.99 
01/20/2017,6.24%,0,0,0,0,0,0,0,0,0.17%,"899,541","1,554",3268479,27.52%, $3.67 
01/21/2017,5.76%,0,0,0,0,0,0,0,0,0.15%,"1,024,405","1,562",4890123,20.95%, $3.24 
01/22/2017,5.04%,0,0,0,0,0,0,0,0,0.14%,"1,037,359","1,448",5755674,18.02%, $3.14 
01/23/2017,6.03%,0,0,0,0,0,0,0,0,0.13%,"1,114,357","1,460",6837237,16.30%, $2.99 
01/24/2017,3.22%,0,0,0,0,0,0,0,0,0.16%,"1,336,956","2,110",9681772,13.81%, $2.61 
01/25/2017,3.68%,0,0,0,0,0,0,0,0,0.16%,"1,292,389","2,091",8273469,15.62%, $2.67 
01/26/2017,2.92%,0,0,0,0,0,0,0,0,0.17%,"1,238,737","2,089",8113581,15.27%, $2.72 
01/27/2017,4.21%,0,0,0,0,0,0,0,0,0.17%,"1,266,009","2,159",8420338,15.04%, $2.70 
01/28/2017,2.95%,0,0,0,0,0,0,0,0,0.17%,"1,285,918","2,237",8558410,15.03%, $2.65 
01/29/2017,4.72%,0,0,0,0,0,0,0,0,0.18%,"829,478","1,482",5683956,14.59%, $2.46 
02/01/2017,3.50%,0,0,0,0,0,0,0,0,0.15%,"1,517,804","2,202",10671571,14.22%, $2.23 
02/02/2017,3.40%,0,0,0,0,0,0,0,0,0.15%,"1,623,935","2,383",10807717,15.03%, $2.15 
02/03/2017,5.60%,0,0,0,0,0,0,0,0,0.15%,"1,355,375","2,054",9830980,13.79%, $2.21 
02/04/2017,5.07%,0,0,0,0,0,0,0,0,0.19%,"1,312,743","2,446",10272871,12.78%, $2.27 
02/05/2017,2.97%,0,0,0,0,0,0,0,0,0.19%,"1,307,366","2,457",10027507,13.04%, $2.29 
02/06/2017,4.55%,0,0,0,0,0,0,0,0,0.18%,"1,269,734","2,266",9980532,12.72%, $2.31 
