,Shell,,BP,,Petróleo Brasileiro S.A. - Petrobras,
Competitor,Date, Adj Close ,Date,Adj Close,Date,Adj Close
Shell,1/2/2015, $53.71 ,1/2/2015,30.66357,3/12/2015,34
Shell,1/5/2015, $51.16 ,1/5/2015,29.0387,3/13/2015,null
Shell,1/6/2015, $50.54 ,1/6/2015,28.821508,3/16/2015,null
Shell,1/7/2015, $51.12 ,1/7/2015,28.893902,3/17/2015,31.5
Shell,1/8/2015, $52.16 ,1/8/2015,29.545462,3/18/2015,null
Shell,1/9/2015, $51.50 ,1/9/2015,29.424805,3/19/2015,null
Shell,1/12/2015, $50.46 ,1/12/2015,28.998474,3/20/2015,null
Shell,1/13/2015, $50.50 ,1/13/2015,28.926077,3/25/2015,null
Shell,1/14/2015, $49.95 ,1/14/2015,28.692797,3/26/2015,null
Shell,1/15/2015, $50.13 ,1/15/2015,28.741074,3/27/2015,null
Shell,1/16/2015, $51.64 ,1/16/2015,30.454433,3/30/2015,null
Shell,1/20/2015, $51.80 ,1/20/2015,30.317686,3/31/2015,null
Shell,1/21/2015, $52.62 ,1/21/2015,31.226654,4/1/2015,null
Shell,1/22/2015, $52.81 ,1/22/2015,31.355358,4/6/2015,null
Shell,1/23/2015, $52.28 ,1/23/2015,31.291002,4/7/2015,null
Shell,1/26/2015, $53.29 ,1/26/2015,32.111485,4/8/2015,null
Shell,1/27/2015, $53.48 ,1/27/2015,32.344761,4/9/2015,null
Shell,1/28/2015, $51.41 ,1/28/2015,31.274918,4/10/2015,null
Shell,1/29/2015, $49.97 ,1/29/2015,31.170341,4/13/2015,null
Shell,1/30/2015, $49.28 ,1/30/2015,31.234695,4/14/2015,48.950001
Shell,2/2/2015, $50.47 ,2/2/2015,32.063225,4/15/2015,null
Shell,2/3/2015, $53.73 ,2/3/2015,33.060669,4/16/2015,null
Shell,2/4/2015, $52.46 ,2/4/2015,32.537819,4/17/2015,null
Shell,2/5/2015, $53.58 ,2/5/2015,33.285915,4/20/2015,null
Shell,2/6/2015, $53.12 ,2/6/2015,33.116982,4/21/2015,49.5
Shell,2/9/2015, $53.50 ,2/9/2015,33.470921,4/22/2015,null
Shell,2/10/2015, $52.99 ,2/10/2015,33.181335,4/23/2015,null
Shell,2/11/2015, $52.60 ,2/11/2015,32.936447,4/24/2015,null
Shell,2/12/2015, $53.16 ,2/12/2015,33.744556,4/27/2015,null
Shell,2/13/2015, $53.95 ,2/13/2015,34.226166,4/28/2015,null
Shell,2/17/2015, $54.02 ,2/17/2015,34.103714,4/29/2015,52
Shell,2/18/2015, $54.13 ,2/18/2015,34.079231,4/30/2015,52
Shell,2/19/2015, $52.94 ,2/19/2015,33.62212,5/4/2015,52
Shell,2/20/2015, $53.53 ,2/20/2015,33.695583,5/5/2015,52
Shell,2/23/2015, $53.01 ,2/23/2015,33.646614,5/6/2015,53
Shell,2/24/2015, $53.60 ,2/24/2015,33.948627,5/7/2015,53
Shell,2/25/2015, $53.66 ,2/25/2015,34.209831,5/8/2015,53
Shell,2/26/2015, $52.73 ,2/26/2015,33.760883,5/11/2015,53
Shell,2/27/2015, $53.18 ,2/27/2015,33.826187,5/12/2015,53
Shell,3/2/2015, $52.31 ,3/2/2015,33.711906,5/13/2015,53
