Date,Cash Buyer,Cash Seller & Settlement,3-months Buyer,3-months Seller,15-months Buyer,15-months Seller,Dec 1 Buyer,Dec 1 Seller,Dec 2 Buyer,Dec 2 Seller,Dec 3 Buyer,Dec 3 Seller
3/16/2017,2266,2267,2278,2280,,,,,,,2265,2270
3/15/2017,2216.5,2217,2234,2235,,,,,,,2222,2227
3/14/2017,2210,2210.5,2221.5,2222,,,,,,,2208,2213
3/13/2017,2284,2284.5,2295,2296,,,,,,,2280,2285
3/10/2017,2257,2258,2262,2263,,,,,,,2247,2252
3/9/2017,2226,2227,2228,2229,,,,,,,2213,2218
3/8/2017,2239.5,2240,2243,2245,,,,,,,2228,2233
3/7/2017,2219.5,2220,2225,2227,,,,,,,2208,2213
3/6/2017,2221,2223,2223,2225,,,,,,,2207,2212
3/3/2017,2247,2247.5,2253,2255,,,,,,,2237,2242
3/2/2017,2272.5,2273,2280,2282,,,,,,,2263,2268
3/1/2017,2285,2287,2288,2290,,,,,,,2272,2277
2/28/2017,2271,2272,2273,2275,,,,,,,2257,2262
2/27/2017,2256,2257,2258,2260,,,,,,,2243,2248
2/24/2017,2230,2231,2240,2241,,,,,,,2225,2230
2/23/2017,2269.5,2270,2274,2275,,,,,,,2258,2263
2/22/2017,2288,2290,2295,2296,,,,,,,2280,2285
2/21/2017,2283,2284,2287,2288,,,,,,,2270,2275
2/20/2017,2274.5,2275,2282,2283,,,,,,,2265,2270
2/17/2017,2268,2269,2280,2282,,,,,,,2262,2267
2/16/2017,2271,2273,2287,2287.5,,,,,,,2265,2270
2/15/2017,2337,2338,2350,2352,,,,,,,2328,2333
2/14/2017,2414.5,2415,2419,2419.5,,,,,,,2395,2400
2/13/2017,2441,2442,2444,2445,,,,,,,2410,2415
2/10/2017,2405,2406,2392,2394,,,,,,,2375,2380
2/9/2017,2398.5,2399,2388,2390,,,,,,,2372,2377
2/8/2017,2379,2379.5,2373,2375,,,,,,,2355,2360
2/7/2017,2327,2329,2322,2323,,,,,,,2305,2310
2/6/2017,2325,2325.5,2314,2315,,,,,,,2297,2302
2/3/2017,2293,2294,2286,2288,,,,,,,2273,2278
2/2/2017,2333,2334,2331,2333,,,,,,,2322,2327
2/1/2017,2351,2351.5,2348,2350,,,,,,,2340,2345
1/31/2017,2354,2355,2354,2356,,,,,,,2345,2350
1/30/2017,2319.5,2320,2293,2295,,,,,,,2285,2290
1/27/2017,2364,2365,2310,2315,,,,,,,2303,2308
1/26/2017,2389,2390,2387,2388,,,,,,,2368,2373
1/25/2017,2378,2379,2358,2360,,,,,,,2338,2343
1/24/2017,2389,2390,2359.5,2361.5,,,,,,,2343,2348
1/23/2017,2350,2350.5,2335,2336,,,,,,,2315,2320
1/20/2017,2308.5,2309,2297,2299,,,,,,,2275,2280
1/19/2017,2314.5,2315,2310,2312,,,,,,,2300,2305
1/18/2017,2303,2303.5,2305,2307,,,,,,,2297,2302
1/17/2017,2267,2268,2271,2273,,,,,,,2262,2267
1/16/2017,2315,2315.5,2321.5,2322,,,,,,,2310,2315
1/13/2017,2220,2221,2224,2226,,,,,,,2225,2230
1/12/2017,2188,2190,2193,2195,,,,,,,2200,2205
1/11/2017,2164.5,2165,2184,2185,,,,,,,2192,2197
1/10/2017,2143,2143.5,2159,2160,,,,,,,2167,2172
1/9/2017,2058,2060,2078,2080,,,,,,,2085,2090
1/6/2017,2040,2041,2055,2060,,,,,,,2065,2070
