Date,Cash Buyer,Cash Seller & Settlement,3-months Buyer,3-months Seller,15-months Buyer,15-months Seller,Dec 1 Buyer,Dec 1 Seller,Dec 2 Buyer,Dec 2 Seller,Dec 3 Buyer,Dec 3 Seller
3/16/2017,10270,10290,10300,10320,,,,,,,10595,10645
3/15/2017,10180,10185,10230,10240,,,,,,,10520,10570
3/14/2017,10085,10090,10125,10130,,,,,,,10420,10470
3/13/2017,10140,10145,10175,10200,,,,,,,10480,10530
3/10/2017,10020,10030,10060,10070,,,,,,,10360,10410
3/9/2017,10050,10100,10100,10110,,,,,,,10395,10445
3/8/2017,10515,10520,10560,10590,,,,,,,10855,10905
3/7/2017,10915,10920,10955,10960,,,,,,,11235,11285
3/6/2017,10890,10895,10960,10970,,,,,,,11240,11290
3/3/2017,10880,10900,10930,10940,,,,,,,11215,11265
3/2/2017,10895,10900,10950,10975,,,,,,,11240,11290
3/1/2017,10980,11000,11060,11065,,,,,,,11340,11390
2/28/2017,10865,10870,10940,10950,,,,,,,11220,11270
2/27/2017,10890,10900,10955,10960,,,,,,,11235,11285
2/24/2017,10675,10680,10750,10760,,,,,,,11030,11080
2/23/2017,10630,10635,10715,10720,,,,,,,10990,11040
2/22/2017,10705,10710,10775,10780,,,,,,,11050,11100
2/21/2017,11015,11020,11060,11065,,,,,,,11325,11375
2/20/2017,11040,11045,11090,11095,,,,,,,11355,11405
2/17/2017,10875,10900,10940,10950,,,,,,,11215,11265
2/16/2017,10870,10875,10910,10915,,,,,,,11185,11235
2/15/2017,10705,10710,10785,10790,,,,,,,11065,11115
2/14/2017,10820,10825,10850,10875,,,,,,,11140,11190
2/13/2017,10670,10675,10710,10720,,,,,,,10995,11045
2/10/2017,10430,10450,10430,10460,,,,,,,10730,10780
2/9/2017,10375,10380,10430,10440,,,,,,,10725,10775
2/8/2017,10435,10440,10485,10490,,,,,,,10780,10830
2/7/2017,10380,10390,10430,10435,,,,,,,10725,10775
2/6/2017,10330,10340,10380,10385,,,,,,,10680,10730
2/3/2017,10150,10160,10210,10220,,,,,,,10520,10570
2/2/2017,10355,10360,10395,10400,,,,,,,10710,10760
2/1/2017,10020,10025,10050,10075,,,,,,,10370,10420
1/31/2017,9880,9890,9920,9950,,,,,,,10265,10315
1/30/2017,9490,9495,9530,9540,,,,,,,9855,9905
1/27/2017,9375,9380,9420,9430,,,,,,,9725,9775
1/26/2017,9560,9565,9625,9630,,,,,,,9930,9980
1/25/2017,9630,9635,9675,9680,,,,,,,9975,10025
1/24/2017,9760,9765,9790,9800,,,,,,,10090,10140
1/23/2017,9765,9770,9800,9850,,,,,,,10105,10155
1/20/2017,9730,9735,9780,9810,,,,,,,10075,10125
1/19/2017,10030,10050,10090,10100,,,,,,,10370,10420
1/18/2017,10155,10160,10200,10210,,,,,,,10470,10520
1/17/2017,10170,10175,10220,10230,,,,,,,10485,10535
1/16/2017,10230,10235,10300,10350,,,,,,,10580,10630
1/13/2017,10110,10115,10175,10180,,,,,,,10445,10495
1/12/2017,9950,9975,10010,10020,,,,,,,10265,10315
1/11/2017,10440,10450,10475,10480,,,,,,,10725,10775
1/10/2017,10430,10435,10470,10475,,,,,,,10715,10765
1/9/2017,10240,10245,10280,10285,,,,,,,10520,10570
1/6/2017,10180,10185,10230,10240,,,,,,,10475,10525
1/5/2017,10225,10230,10270,10280,,,,,,,10525,10575
1/4/2017,9970,9975,10020,10025,,,,,,,10280,10330
1/3/2017,10200,10205,10250,10270,,,,,,,10520,10570
12/30/2016,10005,10010,10090,10095,10175,10275,,,,,,
12/29/2016,10030,10035,10120,10130,10205,10305,,,,,,
12/28/2016,10130,10140,10195,10200,10280,10380,,,,,,
12/23/2016,10565,10570,10610,10640,10710,10810,,,,,,
12/22/2016,10580,10585,10600,10605,10690,10790,,,,,,
12/21/2016,10880,10885,10950,10960,11040,11140,,,,,,
12/20/2016,10970,10980,11000,11025,11095,11195,,,,,,
12/19/2016,10845,10850,10880,10900,10975,11075,,,,,,
12/16/2016,11120,11130,11210,11215,11295,11395,,,,,,
12/15/2016,11240,11245,11310,11325,11400,11500,,,,,,
12/14/2016,11360,11365,11420,11430,11505,11605,,,,,,
12/13/2016,11400,11410,11460,11480,11550,11650,,,,,,
12/12/2016,11270,11275,11330,11350,11420,11520,,,,,,
12/9/2016,11320,11330,11370,11380,11450,11550,,,,,,
12/8/2016,11365,11370,11430,11440,11510,11610,,,,,,
12/7/2016,11540,11550,11600,11625,11690,11790,,,,,,
12/6/2016,11510,11520,11580,11600,11665,11765,,,,,,
12/5/2016,11675,11680,11720,11750,11810,11910,,,,,,
12/2/2016,11120,11125,11185,11190,11265,11365,,,,,,
12/1/2016,11200,11210,11250,11270,11335,11435,,,,,,
11/30/2016,10960,10965,11000,11010,11085,11185,,,,,,
11/29/2016,11295,11300,11370,11380,11450,11550,,,,,,
11/28/2016,11675,11680,11710,11730,11790,11890,,,,,,
11/25/2016,11460,11465,11505,11510,11585,11685,,,,,,
11/24/2016,11565,11570,11585,11590,11665,11765,,,,,,
11/23/2016,11220,11225,11260,11280,11350,11450,,,,,,
11/22/2016,11370,11380,11395,11400,11485,11585,,,,,,
11/21/2016,11150,11155,11205,11210,11295,11395,,,,,,
11/18/2016,11075,11080,11125,11150,11225,11325,,,,,,
11/17/2016,11235,11240,11290,11300,11380,11480,,,,,,
11/16/2016,11200,11205,11250,11275,11340,11440,,,,,,
11/15/2016,11150,11155,11215,11220,11295,11395,,,,,,
11/14/2016,11130,11135,11175,11200,11255,11355,,,,,,
11/11/2016,11730,11735,11760,11770,11830,11930,,,,,,
11/10/2016,11700,11710,11710,11725,11795,11895,,,,,,
11/9/2016,11445,11450,11480,11490,11565,11665,,,,,,
11/8/2016,11135,11140,11175,11180,11265,11365,,,,,,
11/7/2016,10925,10930,10985,10990,11075,11175,,,,,,
11/4/2016,10375,10385,10420,10430,10515,10615,,,,,,
11/3/2016,10420,10440,10460,10470,10555,10655,,,,,,
11/2/2016,10350,10355,10375,10400,10475,10575,,,,,,
11/1/2016,10440,10445,10475,10485,10565,10665,,,,,,
10/31/2016,10540,10550,10570,10600,10670,10770,,,,,,
10/28/2016,10335,10340,10350,10390,10465,10565,,,,,,
10/27/2016,10260,10265,10290,10320,10400,10500,,,,,,
10/26/2016,10140,10150,10190,10195,10285,10385,,,,,,
10/25/2016,10250,10255,10310,10320,10405,10505,,,,,,
10/24/2016,10015,10020,10060,10080,10160,10260,,,,,,
10/21/2016,9985,9995,10025,10030,10120,10220,,,,,,
10/20/2016,10160,10165,10215,10220,10305,10405,,,,,,
10/19/2016,10270,10280,10300,10305,10390,10490,,,,,,
10/18/2016,10330,10335,10380,10390,10475,10575,,,,,,
10/17/2016,10395,10400,10450,10470,10550,10650,,,,,,
10/14/2016,10430,10435,10460,10470,10555,10655,,,,,,
10/13/2016,10410,10415,10450,10455,10545,10645,,,,,,
10/12/2016,10525,10575,10590,10600,10685,10785,,,,,,
10/11/2016,10410,10415,10450,10475,10555,10655,,,,,,
10/10/2016,10300,10305,10345,10350,10440,10540,,,,,,
10/7/2016,10250,10260,10280,10300,10370,10470,,,,,,
10/6/2016,10115,10120,10160,10190,10255,10355,,,,,,
10/5/2016,9965,9970,10020,10025,10105,10205,,,,,,
10/4/2016,10150,10155,10200,10210,10290,10390,,,,,,
10/3/2016,10185,10190,10230,10235,10315,10415,,,,,,
9/30/2016,10455,10460,10535,10540,,,,,,,10810,10910
9/29/2016,10525,10530,10590,10600,,,,,,,10870,10970
9/28/2016,10610,10615,10685,10690,,,,,,,10965,11065
9/27/2016,10755,10760,10800,10810,,,,,,,11080,11180
9/26/2016,10440,10450,10480,10485,,,,,,,10755,10855
9/23/2016,10620,10625,10690,10695,,,,,,,10975,11075
9/22/2016,10540,10545,10590,10600,,,,,,,10885,10985
9/21/2016,10310,10315,10375,10380,,,,,,,10675,10775
9/20/2016,10190,10195,10245,10250,,,,,,,10545,10645
9/19/2016,9915,9920,9960,9970,,,,,,,10255,10355
9/16/2016,9645,9650,9690,9700,,,,,,,9990,10090
9/15/2016,9740,9745,9775,9825,,,,,,,10095,10195
9/14/2016,9760,9770,9750,9775,,,,,,,10060,10160
9/13/2016,10010,10015,10060,10065,,,,,,,10360,10460
9/12/2016,10020,10025,10065,10080,,,,,,,10365,10465
9/9/2016,10335,10340,10370,10375,,,,,,,10665,10765
9/8/2016,10305,10310,10335,10340,,,,,,,10635,10735
9/7/2016,10130,10135,10200,10225,,,,,,,10515,10615
9/6/2016,10050,10060,10120,10130,,,,,,,10430,10530
9/5/2016,10045,10050,10040,10080,,,,,,,10355,10455
9/2/2016,9875,9880,9925,9950,,,,,,,10235,10335
9/1/2016,9745,9750,9790,9800,,,,,,,10095,10195
8/31/2016,9720,9725,9790,9795,,,,,,,9890,9990
8/30/2016,9715,9720,9775,9780,,,,,,,9875,9975
8/26/2016,9770,9775,9830,9840,,,,,,,9935,10035
8/25/2016,9790,9795,9825,9850,,,,,,,9935,10035
8/24/2016,10215,10220,10265,10270,,,,,,,10365,10465
8/23/2016,10230,10235,10270,10275,,,,,,,10370,10470
8/22/2016,10115,10125,10170,10200,,,,,,,10285,10385
8/19/2016,10245,10250,10285,10300,,,,,,,10395,10495
8/18/2016,10320,10325,10380,10390,,,,,,,10485,10585
8/17/2016,10150,10155,10215,10220,,,,,,,10315,10415
8/16/2016,10320,10330,10350,10400,,,,,,,10475,10575
