DATE,M1,M2,M3,M4
1/3/2012,1590,1224.99,22.0621,7480
1/4/2012,1603,1245.656,22.4721,7450
1/5/2012,1614.5,1250,22.5321,7310
1/6/2012,1621,1271.533,22.9688,7390
1/9/2012,1618,1268.258,22.6009,7325
1/10/2012,1627,1279.406,23.2498,7445
1/11/2012,1641,1289.14,23.4817,7480
1/12/2012,1652.5,1294.319,23.9655,7725
1/13/2012,1642,1289.623,23.2016,7750
1/16/2012,1643.5,1295.083,23.6102,7830
1/17/2012,1662,1302.092,23.823,8020
1/18/2012,1657,1283.21,23.5363,7960
1/19/2012,1664,1284.041,23.8497,8145
1/20/2012,1646,1279.016,23.5167,8040
1/23/2012,1675,1285.386,24.9711,8135
1/24/2012,1669,1283.227,24.5675,8045
1/25/2012,1659,1273.443,24.4273,8025
1/26/2012,1713,1311.513,25.3612,8275
1/27/2012,1722,1316.452,25.4892,8305
1/30/2012,1720.5,1319.042,25.28,8140
1/31/2012,1738,1328.155,25.4835,8225
2/1/2012,1744,1322.088,25.7622,8155
2/2/2012,1747.5,1332.471,25.6436,8130
2/3/2012,1759.5,1324.574,25.7827,8145
2/6/2012,1717,1315.125,25.6662,8250
2/7/2012,1720,1307.348,25.3755,8125
2/8/2012,1743,1316.544,25.8908,8375
2/9/2012,1733,1314.187,25.4998,8325
2/10/2012,1715.5,1298.46,25.3495,8365
2/13/2012,1727,1300.764,25.53,8335
2/14/2012,1721,1309.107,25.396,8290
2/15/2012,1725.5,1324.62,25.6295,8295
2/16/2012,1716,1313.65,25.5329,8120
2/17/2012,1732,1309.569,25.4892,8270
2/20/2012,1729.5,1308.715,25.3092,8135
2/21/2012,1737,1321.439,25.4731,8220
2/22/2012,1754.75,1325.566,25.7791,8270
2/23/2012,1776.5,1337.297,25.997,8250
2/24/2012,1778.5,1321.856,26.519,8235
2/27/2012,1765,1323.573,26.1866,8205
2/28/2012,1774.75,1326.333,26.492,8425
2/29/2012,1788,1319.812,27.6741,8405
3/1/2012,1721,1287.077,25.9265,8400
3/2/2012,1714.5,1293.77,26.644,8455
3/5/2012,1698,1289.81,25.9136,8375
3/6/2012,1685.5,1271.813,25.2893,8205
3/7/2012,1682.5,1279.167,25.2512,8100
3/8/2012,1701.5,1276.435,25.7477,8225
3/9/2012,1699.5,1285.225,25.63,8225
3/12/2012,1705.25,1293.235,25.7491,8220
3/13/2012,1694.75,1291.555,25.6179,8350
3/14/2012,1662,1261.799,25.132,8265
3/15/2012,1646.75,1261.192,24.7874,8270
3/16/2012,1649,1258.444,24.6788,8345
3/19/2012,1654,1258.712,24.6505,8325
3/20/2012,1648.5,1250.566,24.4461,8190
3/21/2012,1656,1250.379,24.1447,8240
3/22/2012,1636,1242.309,24.1474,8100
3/23/2012,1651,1254.429,23.8452,8210
3/26/2012,1658,1261.26,24.3392,8270
3/27/2012,1694,1269.413,24.7266,8275
3/28/2012,1677,1258.636,24.3012,8245
3/29/2012,1655.75,1248.588,23.9437,8165
3/30/2012,1660.75,1246.626,24.3213,8250
4/2/2012,1664,1261.089,24.3028,8275
4/3/2012,1674.75,1258.446,24.7151,8345
4/4/2012,1631.75,1233.732,24.3009,8250
4/5/2012,1622.5,1248.278,23.925,8190
4/10/2012,1643.75,1255.537,24.1411,8080
4/11/2012,1654,1261.988,24.1248,7970
4/12/2012,1655.5,1266.318,23.9461,8005
4/13/2012,1670.5,1272.137,24.5804,7970
4/16/2012,1648.25,1268.124,24.0479,7865
4/17/2012,1652,1247.902,24.0938,7880
4/18/2012,1646.5,1256.017,24.1741,7895
4/19/2012,1642,1256.664,23.9991,7875
4/20/2012,1640,1244.126,24.1016,7950
4/23/2012,1632,1240.954,23.7319,7885
4/24/2012,1638.75,1248.297,23.4409,7920
4/25/2012,1641.25,1239.311,23.3674,8010
4/26/2012,1648.25,1250.189,23.2435,8055
4/27/2012,1654,1255.946,23.5374,8075
4/30/2012,1662.5,1248.11,23.5917,8105
5/1/2012,1661.25,1256.133,23.2197,8115
5/2/2012,1652.5,1253.995,23.2321,8125
5/3/2012,1642.5,1244.302,23.1138,8065
5/4/2012,1629.5,1248.765,22.7671,8025
5/8/2012,1627,1233.831,22.7137,7930
5/9/2012,1585.5,1223.141,22.1785,7760
5/10/2012,1590,1232.555,22.6131,7850
5/11/2012,1580.75,1223.622,22.0951,7775
5/14/2012,1563,1214.731,22.0124,7640
5/15/2012,1559,1217.919,21.9992,7675
5/16/2012,1537.5,1214.034,21.4364,7530
5/17/2012,1547,1223.718,21.6548,7580
5/18/2012,1588,1249.803,22.4252,7645
5/21/2012,1590.25,1250,22.2335,7600
5/22/2012,1575.75,1239.233,22.0071,7635
5/23/2012,1555,1225.766,21.9308,7465
5/24/2012,1558.5,1248.011,22.3282,7495
5/25/2012,1560.5,1252.194,22.4537,7540
5/28/2012,1579,1255.261,22.6565,7600
5/29/2012,1573.75,1260.575,22.5351,7585
5/30/2012,1548.75,1239.437,22.2276,7480
5/31/2012,1567.5,1258.278,22.6485,7460
6/1/2012,1552.5,1292.763,22.206,7335
6/6/2012,1633.25,1307.163,23.488,7435
6/7/2012,1620.75,1277.34,23.2473,7475
6/8/2012,1576,1265.249,22.6102,7265
6/11/2012,1593,1262.151,22.791,7415
6/12/2012,1589.25,1284.444,22.8229,7350
6/13/2012,1612.75,1292.498,23.0407,7405
6/14/2012,1619,1280.251,22.9662,7395
6/15/2012,1622.25,1289.462,22.719,7515
6/18/2012,1623.5,1282.143,22.5367,7465
6/19/2012,1628.5,1284.98,22.8379,7500
6/20/2012,1618.75,1259.638,22.3124,7520
6/21/2012,1600,1254.063,22.0047,7400
6/22/2012,1570.5,1244.633,21.354,7245
6/25/2012,1569,1256.603,21.4017,7270
6/26/2012,1583.25,1262.618,21.9608,7295
6/27/2012,1567.5,1261.828,21.4766,7275
6/28/2012,1567.75,1253.317,21.5775,7340
6/29/2012,1569.5,1260.448,21.5262,7520
7/2/2012,1596.25,1263.292,21.6799,7565
7/3/2012,1608.5,1285.26,22.1851,7700
7/4/2012,1617,1284.634,22.3806,7635
7/5/2012,1616.75,1296.162,22.6188,7710
7/6/2012,1591.75,1288.463,22.0768,7575
7/9/2012,1581,1290.506,22.1373,7485
7/10/2012,1594.5,1300.016,22.3964,7510
7/11/2012,1576.5,1284.83,22.0586,7455
7/12/2012,1565.5,1277.395,21.8966,7430
7/13/2012,1579,1301.599,22.532,7610
7/16/2012,1584,1299.771,22.1976,7575
7/17/2012,1595,1293.659,22.3199,7625
