DATE,DDFUELNYH,DCOILWTICO,DGASNYH
2/8/2012,3.212,117.18,3.001
2/9/2012,3.231,118.4,3.032
2/10/2012,3.202,118.13,3.001
2/13/2012,3.176,118.73,3.027
2/14/2012,3.2,118.3,2.999
2/15/2012,3.219,120.25,3.023
2/16/2012,3.232,121,3.05
2/17/2012,3.225,120.69,3.023
2/21/2012,3.272,120.85,3.061
2/22/2012,3.307,123.07,3.107
2/23/2012,3.326,124.53,3.133
2/24/2012,3.335,124.89,3.151
2/27/2012,3.304,126.46,3.113
2/28/2012,3.267,124.02,3.232
2/29/2012,3.254,122.23,3.27
3/1/2012,3.321,125.76,3.155
3/2/2012,3.26,125.93,3.098
3/5/2012,3.279,126.68,3.038
3/6/2012,3.254,125.03,2.989
3/7/2012,3.286,125.37,3.037
3/8/2012,3.323,127.96,3.057
3/9/2012,3.329,128.08,3.097
3/12/2012,3.313,127.27,3.088
3/13/2012,3.338,128.14,3.13
3/14/2012,3.329,126.98,3.146
3/15/2012,3.296,123.63,3.071
3/16/2012,3.364,125.09,3.149
3/19/2012,3.333,125.76,3.192
3/20/2012,3.316,124.38,3.204
3/21/2012,3.288,123.89,3.192
3/22/2012,3.258,122.49,3.23
3/23/2012,3.288,125.21,3.276
3/26/2012,3.319,125.85,3.303
3/27/2012,3.307,125.25,3.289
3/28/2012,3.308,124.41,3.3
3/29/2012,3.268,123.23,3.324
3/30/2012,3.269,123.41,3.318
4/2/2012,3.35,124.44,3.384
4/4/2012,3.264,123.04,3.346
4/5/2012,3.26,123.58,3.302
4/10/2012,3.185,121.89,3.215
4/11/2012,3.202,120.41,3.265
4/12/2012,3.263,120.57,3.335
4/13/2012,3.271,120.62,3.322
4/16/2012,3.205,118.23,3.232
4/17/2012,3.213,117.41,3.199
4/18/2012,3.203,115.18,3.156
4/19/2012,3.205,117,3.094
4/20/2012,3.199,118.08,3.089
4/23/2012,3.201,116.66,3.121
4/24/2012,3.205,117.74,3.084
4/25/2012,3.25,117.45,3.076
4/26/2012,3.276,119.33,3.09
4/27/2012,3.266,119.3,3.082
4/30/2012,3.257,118.66,3.057
5/1/2012,3.259,119.57,3.043
5/2/2012,3.227,117.57,2.999
5/3/2012,3.168,115.91,2.955
5/4/2012,3.083,111.66,2.879
5/8/2012,3.064,110.48,2.936
5/9/2012,3.068,111.89,2.945
5/10/2012,3.053,112.24,2.941
5/11/2012,3.038,112.5,2.945
5/14/2012,2.996,110.79,2.961
5/15/2012,3.003,111.4,2.9
5/16/2012,2.957,109.8,2.864
5/17/2012,2.91,109.31,2.819
5/18/2012,2.884,108.03,2.833
5/21/2012,2.921,109.02,2.883
5/22/2012,2.913,109.76,2.852
5/23/2012,2.881,106.88,2.8
5/24/2012,2.888,107.2,2.794
5/25/2012,2.89,107.86,2.807
5/29/2012,2.875,107.55,2.829
5/30/2012,2.804,103.85,2.774
5/31/2012,2.78,103.86,2.631
6/1/2012,2.712,98.63,2.623
6/4/2012,2.696,97.74,2.674
6/5/2012,2.702,98.65,2.682
6/6/2012,2.747,101.14,2.698
6/7/2012,2.725,100.05,2.666
6/8/2012,2.754,97.57,2.695
6/11/2012,2.686,98.6,2.642
6/12/2012,2.701,96.59,2.665
6/13/2012,2.697,97.29,2.663
6/14/2012,2.736,96.46,2.708
6/15/2012,2.753,97.13,2.683
6/18/2012,2.726,95.21,2.61
6/19/2012,2.734,95.14,2.6
6/20/2012,2.694,93.5,2.537
6/21/2012,2.635,89.22,2.441
6/22/2012,2.667,89.22,2.49
6/25/2012,2.656,88.69,2.538
6/26/2012,2.693,90.19,2.523
6/27/2012,2.708,92.06,2.486
6/28/2012,2.668,91.02,2.437
6/29/2012,2.819,94.17,2.59
7/2/2012,2.794,95.28,2.591
7/3/2012,2.882,99.89,2.683
7/5/2012,2.875,101.54,2.711
7/6/2012,2.849,98.5,2.671
7/9/2012,2.883,99.94,2.747
7/10/2012,2.863,99.15,2.736
7/11/2012,2.901,99.23,2.77
7/12/2012,2.901,99.18,2.795
