,weights,cols,Value,Coeff * Weights
0,0.603180021,budget,10.81977828,6.526274091
1,-2.311081772,"duration_(60, 120]",,
2,-1.468117775,"duration_(120, 180]",1,-1.468117775
3,-1.490930379,"duration_(180, 240]",,
4,0.19160652,"duration_(240, 300]",,
5,-0.415598423,"duration_(300, 360]",,
6,0,"duration_(360, 420]",,
7,0,"title_year_(1900, 1910]",,
8,0,"title_year_(1910, 1920]",,
9,0,"title_year_(1920, 1930]",,
10,-0.72813731,"title_year_(1930, 1940]",,
11,-0.82295289,"title_year_(1940, 1950]",,
12,-0.47243499,"title_year_(1950, 1960]",,
13,-1.221113192,"title_year_(1960, 1970]",,
14,-0.620107798,"title_year_(1970, 1980]",,
15,-0.633048583,"title_year_(1980, 1990]",,
16,-1.097564563,"title_year_(1990, 2000]",,
17,-0.72617937,"title_year_(2000, 2010]",,
18,-0.447125567,"title_year_(2010, 2020]",1,-0.447125567
19,0.074558033,splitgenre_,,
20,-0.571222416,splitgenre_Action,1,-0.571222416
21,0.216886386,splitgenre_Adventure,,
22,0.466266212,splitgenre_Animation,,
23,-0.707185249,splitgenre_Comedy,,
24,-0.712700924,splitgenre_Crime,,
25,-1.384806047,splitgenre_Documentary,,
26,-1.149909583,splitgenre_Drama,,
27,0.262547776,splitgenre_Family,,
28,0.297251945,splitgenre_Fantasy,,
29,-0.06865587,splitgenre_Foreign,,
30,-0.549667859,splitgenre_History,,
31,0.024542808,splitgenre_Horror,,
32,-0.46624246,splitgenre_Music,,
33,-0.179274293,splitgenre_Mystery,,
34,-0.305746372,splitgenre_Romance,,
35,-0.039922329,splitgenre_Science Fiction,,
36,0,splitgenre_TV Movie,,
37,-0.456121429,splitgenre_Thriller,,
38,-0.837946135,splitgenre_War,,
39,-0.681316456,splitgenre_Western,,
40,0.221314862,language_,,
41,0,language_Afrikaans,,
42,0,language_Bahasa indonesia,,
43,-0.26305275,language_Bosanski,,
44,-0.873438675,language_Dansk,,
45,0.536632685,language_Deutsch,,
46,0.047712538,language_Eesti,,
47,-0.568149229,language_English,1,-0.568149229
48,-0.611355283,language_Español,,
49,0.063746307,language_Esperanto,,
50,-0.312848941,language_Français,,
51,0,language_Gaeilge,,
52,0.308882525,language_Galego,,
53,0.207374561,language_Hrvatski,,
54,0.432694353,language_Italiano,,
55,-0.066295972,language_Kiswahili,,
56,0.449022625,language_Latin,,
57,0.050878057,language_Magyar,,
58,-0.538176987,language_Nederlands,,
59,-0.330588809,language_No Language,,
60,-0.203907773,language_Norsk,,
61,-0.119843949,language_Polski,,
62,-0.231566946,language_Português,,
63,-0.781607554,language_Pусский,,
64,0.06282285,language_Română,,
65,0,language_Srpski,,
66,-0.139248884,language_Tiếng Việt,,
67,0.393724973,language_shqip,,
68,0.165597036,language_svenska,,
69,0.078911425,language_Íslenska,,
70,-0.625256643,language_Český,,
71,-0.293102767,language_ελληνικά,,
72,-0.106521445,language_Український,,
73,0,language_български език,,
74,-0.086438442,language_עִבְרִית,,
75,0.032984088,language_العربية,,
76,0,language_فارسی,,
77,-0.561914909,language_हिन्दी,,
78,0,language_বাংলা,,
79,-0.610178864,language_ภาษาไทย,,
80,-0.165434296,language_广州话 / 廣州話,,
81,-1.135480673,language_日本語,,
82,-0.054392342,language_普通话,,
83,-0.430569544,language_한국어/조선말,,
84,-0.047645193,country_Afghanistan,,
85,0.337326504,country_Algeria,,
86,-0.316744409,country_Argentina,,
87,-0.21723019,country_Aruba,,
88,0.125267158,country_Australia,,
89,-0.569037884,country_Austria,,
90,0.049534686,country_Bahamas,,
91,-0.503049387,country_Belgium,,
