,weights,cols
0,inf,budget
4783,inf,actor_3_name_Christoph Waltz
4796,inf,actor_3_name_Christopher Walken
4799,inf,actor_3_name_Chun Woo-hee
4800,inf,actor_3_name_Ciarán Hinds
4804,inf,actor_3_name_Claire Forlani
4807,inf,actor_3_name_Clark Duke
4820,inf,actor_3_name_Cole Hauser
4821,inf,actor_3_name_Colin Egglesfield
4823,inf,actor_3_name_Colin Firth
4836,inf,actor_3_name_Corinna Harfouch
4840,inf,actor_3_name_Courteney Cox
4842,inf,actor_3_name_Craig Archibald
4843,inf,actor_3_name_Craig Bierko
4845,inf,actor_3_name_Craig Ferguson
4849,inf,actor_3_name_Cuba Gooding Jr.
4852,inf,actor_3_name_Cyril Roy
4853,inf,actor_3_name_Cécile de France
4860,inf,actor_3_name_Dan Aykroyd
4861,inf,actor_3_name_Dan Fogler
4862,inf,actor_3_name_Dan Gill
4867,inf,actor_3_name_Dania Ramirez
4869,inf,actor_3_name_Daniel Craig
4872,inf,actor_3_name_Daniel Studi
4874,inf,actor_3_name_Daniel Tay
4879,inf,actor_3_name_Daniella Wircer
4881,inf,actor_3_name_Danneel Ackles
4883,inf,actor_3_name_Danny Glover
4884,inf,actor_3_name_Danny Huston
4886,inf,actor_3_name_Danny McBride
4890,inf,actor_3_name_Darrin Henson
4793,inf,actor_3_name_Christopher Plummer
4780,inf,actor_3_name_Christina Ricci
4907,inf,actor_3_name_David Cross
4776,inf,actor_3_name_Christina Applegate
4704,inf,actor_3_name_Catherine McCormack
4707,inf,actor_3_name_Catherine Zeta-Jones
4708,inf,actor_3_name_Cathy Moriarty
4714,inf,actor_3_name_Chad Lindberg
4717,inf,actor_3_name_Chandler Canterbury
4723,inf,actor_3_name_Charlie Day
4727,inf,actor_3_name_Charlie Sheen
4731,inf,actor_3_name_Charlize Theron
4732,inf,actor_3_name_Charlotte Le Bon
4736,inf,actor_3_name_Cheech Marin
4737,inf,actor_3_name_Chelsea Field
4739,inf,actor_3_name_Chelsea Rendon
4740,inf,actor_3_name_Chen Sicheng
4741,inf,actor_3_name_Cheryl Tiegs
4745,inf,actor_3_name_Chiwetel Ejiofor
4747,inf,actor_3_name_Chloë Grace Moretz
4749,inf,actor_3_name_Choi Min-sik
4750,inf,actor_3_name_Chow Yun-fat
4751,inf,actor_3_name_Chris Brown
4754,inf,actor_3_name_Chris Cooper
4755,inf,actor_3_name_Chris Diamantopoulos
4757,inf,actor_3_name_Chris Evans
4759,inf,actor_3_name_Chris Klein
4760,inf,actor_3_name_Chris Massoglia
