Player,Team,Salary,Position
"Acevedo, Juan",New York Yankees,900000,Pitcher
"Anderson, Jason",New York Yankees,300000,Pitcher
"Clemens, Roger",New York Yankees,10100000,Pitcher
"Contreras, Jose",New York Yankees,5500000,Pitcher
"Hammond, Chris",New York Yankees,2200000,Pitcher
"Hitchcock, Sterling",New York Yankees,6000000,Pitcher
"Karsay, Steve",New York Yankees,5000000,Pitcher
"Liever, Jon",New York Yankees,550000,Pitcher
"Mussina, Mike",New York Yankees,12000000,Pitcher
"Osuna, Antonio",New York Yankees,2400000,Pitcher
"Pettitte, Andy",New York Yankees,11500000,Pitcher
"Rivera, Mariano",New York Yankees,10500000,Pitcher
"Weaver, Jeff",New York Yankees,4150000,Pitcher
"Wells, David",New York Yankees,3250000,Pitcher
"Appier, Kevin",Anaheim Angels,11500000,Pitcher
"Callaway, Mickey",Anaheim Angels,302500,Pitcher
"Donnelly, Brendan",Anaheim Angels,325000,Pitcher
"Lackey, John",Anaheim Angels,315000,Pitcher
"Ortiz, Ramon",Anaheim Angels,2266667,Pitcher
"Percival, Troy",Anaheim Angels,7833333,Pitcher
"Rodriquez, Francisco",Anaheim Angels,312500,Pitcher
"Schoeneweis, Scott",Anaheim Angels,1425000,Pitcher
"Sele, Aaron",Anaheim Angels,8166667,Pitcher
"Shields, Scot",Anaheim Angels,305000,Pitcher
"Washburn, Jarrod",Anaheim Angels,3875000,Pitcher
"Weber, Ben",Anaheim Angels,375000,Pitcher
"Wise, Matt",Anaheim Angels,302500,Pitcher
"Burkett, John",Boston Red Sox,5500000,Pitcher
"Embree, Alan",Boston Red Sox,3000000,Pitcher
"Fossum, Casey",Boston Red Sox,324500,Pitcher
"Fox, Chad",Boston Red Sox,500000,Pitcher
"Gonzalez, Dicky",Boston Red Sox,300000,Pitcher
"Howry, Bobby",Boston Red Sox,1700000,Pitcher
"Lowe, Derek",Boston Red Sox,3625000,Pitcher
"Lyon, Brandon",Boston Red Sox,309500,Pitcher
"Martinez, Pedro",Boston Red Sox,15500000,Pitcher
"Mendoza, Ramiro",Boston Red Sox,2900000,Pitcher
"Person, Robert",Boston Red Sox,300000,Pitcher
"Timlin, Mike",Boston Red Sox,1850000,Pitcher
