Personal Sentiment,NLTK
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Neutral
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Neutral,Negative
Neutral,Negative
Neutral,Negative
Neutral,Negative
Neutral,Negative
Neutral,Negative
Neutral,Neutral
Neutral,Neutral
Neutral,Neutral
Neutral,Neutral
Neutral,Neutral
Neutral,Neutral
Neutral,Positive
Neutral,Positive
Neutral,Positive
Neutral,Positive
Positive,Negative
Positive,Negative
Positive,Negative
Positive,Negative
Positive,Negative
Positive,Negative
Positive,Negative
Positive,Neutral
Positive,Neutral
Positive,Positive
Positive,Positive
