Cluster,0,1,2,3
of,1.2,1.1818,0.5,3
and,1.6,3.1818,1,2.5
requir,0,0,0,1.5
to,0.6,0.3636,1.5,1
in,0.4,0.3636,1.5,1
technolog,0,0.3636,0,1
project,0.2,0.2727,0,1
comput,0,0.1818,0,1
student,0.6,0,0,1
proces,0.4,0,0,1
addit,0,0,0,1
gradu,0,0,0,1
lingu,0,0,0,1
work,0,0,0,1
a,1.2,0,1.5,0.5
inform,0.6,0.7273,0.5,0.5
th,0.6,0.3636,0.5,0.5
introduc,0.8,0.2727,0.5,0.5
as,0.6,0.1818,0.5,0.5
manag,0.2,0.7273,0,0.5
techniqu,0.8,0.3636,0,0.5
method,0,0.2727,0,0.5
applic,0.4,0.1818,0,0.5
langu,0,0.1818,0,0.5
text,0,0.1818,0,0.5
tool,0.6,0.0909,0,0.5
perform,0,0.0909,0,0.5
profes,0.4,0,0,0.5
act,0.2,0,0,0.5
al,0,0,0,0.5
aspect,0,0,0,0.5
communic,0,0,0,0.5
crit,0,0,0,0.5
discipl,0,0,0,0.5
lectur,0,0,0,0.5
level,0,0,0,0.5
natur,0,0,0,0.5
principl,0,0,0,0.5
read,0,0,0,0.5
review,0,0,0,0.5
rol,0,0,0,0.5
on,0,0.2727,1.5,0
bi,0,0,1.5,0
procedur,0,0,1.5,0
for,0.6,0.7273,1,0
solut,0,0.1818,1,0
us,0,0.1818,1,0
research,0.4,0,1,0
dat,0.8,0.9091,0.5,0
organ,0,0.4545,0.5,0
concept,0,0.3636,0.5,0
build,0,0.1818,0.5,0
transfer,0.2,0.0909,0.5,0
bus,0,0.0909,0.5,0
intellig,0,0.0909,0.5,0
warehous,0,0.0909,0.5,0
stat,0.2,0,0.5,0
ar,0,0,0.5,0
better,0,0,0.5,0
clas,0,0,0.5,0
criter,0,0,0.5,0
decis,0,0,0.5,0
each,0,0,0.5,0
emphas,0,0,0.5,0
focus,0,0,0.5,0
giv,0,0,0.5,0
how,0,0,0.5,0
mak,0,0,0.5,0
practice/techniqu,0,0,0.5,0
rational,0,0,0.5,0
select,0,0,0.5,0
situ,0,0,0.5,0
underl,0,0,0.5,0
databas,0,0.7273,0,0
system,0.2,0.5455,0,0
analys,0.4,0.4545,0,0
digit,0,0.4545,0,0
model,0.2,0.3636,0,0
developm,0,0.3636,0,0
with,0.6,0.2727,0,0
enterpris,0,0.2727,0,0
inclus,0,0.2727,0,0
issu,0,0.2727,0,0
larg,0,0.2727,0,0
repres,0,0.2727,0,0
using,0,0.2727,0,0
hands-on,0.4,0.1818,0,0
practic,0.2,0.1818,0,0
qu,0.2,0.1818,0,0
architectur,0,0.1818,0,0
collect,0,0.1818,0,0
complec,0,0.1818,0,0
cur,0,0.1818,0,0
design,0,0.1818,0,0
extens,0,0.1818,0,0
internet,0,0.1818,0,0
libr,0,0.1818,0,0
object,0,0.1818,0,0
retrief,0,0.1818,0,0
skil,0,0.1818,0,0
xml,0,0.1818,0,0
experi,0.4,0.0909,0,0
administer,0.2,0.0909,0,0
control,0.2,0.0909,0,0
evalu,0.2,0.0909,0,0
min,0.2,0.0909,0,0
standard,0.2,0.0909,0,0
through,0.2,0.0909,0,0
understand,0.2,0.0909,0,0
vocabl,0.2,0.0909,0,0
about,0,0.0909,0,0
acces,0,0.0909,0,0
amount,0,0.0909,0,0
an,0,0.0909,0,0
analog,0,0.0909,0,0
ap,0,0.0909,0,0
appl,0,0.0909,0,0
autom,0,0.0909,0,0
bas,0,0.0909,0,0
behavior,0,0.0909,0,0
broader,0,0.0909,0,0
compris,0,0.0909,0,0
cont,0,0.0909,0,0
context,0,0.0909,0,0
cover,0,0.0909,0,0
decomposit,0,0.0909,0,0
definit,0,0.0909,0,0
deplo,0,0.0909,0,0
depth,0,0.0909,0,0
discov,0,0.0909,0,0
discus,0,0.0909,0,0
dissem,0,0.0909,0,0
docum,0,0.0909,0,0
dom,0,0.0909,0,0
electron,0,0.0909,0,0
eng,0,0.0909,0,0
environm,0,0.0909,0,0
environment,0,0.0909,0,0
establish,0,0.0909,0,0
fil,0,0.0909,0,0
film,0,0.0909,0,0
foc,0,0.0909,0,0
form,0,0.0909,0,0
from,0,0.0909,0,0
fundament,0,0.0909,0,0
group,0,0.0909,0,0
human,0,0.0909,0,0
identif,0,0.0909,0,0
implem,0,0.0909,0,0
in-depth,0,0.0909,0,0
individu,0,0.0909,0,0
int,0,0.0909,0,0
intermedi,0,0.0909,0,0
knowledg,0,0.0909,0,0
man,0,0.0909,0,0
manuscript,0,0.0909,0,0
markup,0,0.0909,0,0
mechan,0,0.0909,0,0
methodolog,0,0.0909,0,0
optim,0,0.0909,0,0
overview,0,0.0909,0,0
paper-bas,0,0.0909,0,0
perspectiv,0,0.0909,0,0
photograph,0,0.0909,0,0
pres,0,0.0909,0,0
preserv,0,0.0909,0,0
problem,0,0.0909,0,0
prov,0,0.0909,0,0
public,0,0.0909,0,0
rel,0,0.0909,0,0
report,0,0.0909,0,0
scal,0,0.0909,0,0
schem,0,0.0909,0,0
search,0,0.0909,0,0
secur,0,0.0909,0,0
servic,0,0.0909,0,0
soc,0,0.0909,0,0
sociopolit,0,0.0909,0,0
specif,0,0.0909,0,0
specific,0,0.0909,0,0
stor,0,0.0909,0,0
structur,0,0.0909,0,0
syntac,0,0.0909,0,0
systems/search,0,0.0909,0,0
team,0,0.0909,0,0
techn,0,0.0909,0,0
that,0,0.0909,0,0
theores,0,0.0909,0,0
transform,0,0.0909,0,0
trens,0,0.0909,0,0
tun,0,0.0909,0,0
video,0,0.0909,0,0
web,0,0.0909,0,0
wel,0,0.0909,0,0
within,0,0.0909,0,0
metad,0.6,0,0,0
wil,0.6,0,0,0
broad,0.4,0,0,0
demonstr,0.4,0,0,0
develop,0.4,0,0,0
exampl,0.4,0,0,0
portfoli,0.4,0,0,0
recip,0.4,0,0,0
resourc,0.4,0,0,0
var,0.4,0,0,0
visual,0.4,0,0,0
approach,0.2,0,0,0
avail,0.2,0,0,0
bind,0.2,0,0,0
cas,0.2,0,0,0
challeng,0.2,0,0,0
commerc,0.2,0,0,0
d-spac,0.2,0,0,0
direct,0.2,0,0,0
examin,0.2,0,0,0
famili,0.2,0,0,0
field,0.2,0,0,0
framework,0.2,0,0,0
futur,0.2,0,0,0
hav,0.2,0,0,0
intern,0.2,0,0,0
interoper,0.2,0,0,0
involut,0.2,0,0,0
opt,0.2,0,0,0
pack,0.2,0,0,0
particl,0.2,0,0,0
philosoph,0.2,0,0,0
real-world,0.2,0,0,0
softwar,0.2,0,0,0
stud,0.2,0,0,0
such,0.2,0,0,0
